Datum,Kategorie,Produkt,Menge,Umsatz
2025-01-01,Elektronik,Kopfhörer,182,8200
2025-01-01,Haushaltswaren,Küchenmaschine,60,5400
2025-01-01,Gartengeräte,Rasenmäher,4,600
2025-01-01,Bekleidung,Jacke,60,4200
2025-02-01,Elektronik,Kopfhörer,173,7800
2025-02-01,Haushaltswaren,Küchenmaschine,57,5100
2025-02-01,Gartengeräte,Rasenmäher,5,750
2025-02-01,Bekleidung,Jacke,50,3500
2025-03-01,Elektronik,Kopfhörer,187,8400
2025-03-01,Haushaltswaren,Küchenmaschine,62,5600
2025-03-01,Gartengeräte,Rasenmäher,15,2250
2025-03-01,Bekleidung,Jacke,54,3800
2025-04-01,Elektronik,Kopfhörer,180,8100
2025-04-01,Haushaltswaren,Küchenmaschine,64,5800
2025-04-01,Gartengeräte,Rasenmäher,40,6000
2025-04-01,Bekleidung,Jacke,57,4000
2025-05-01,Elektronik,Kopfhörer,184,8300
2025-05-01,Haushaltswaren,Küchenmaschine,67,6000
2025-05-01,Gartengeräte,Rasenmäher,55,8250
2025-05-01,Bekleidung,Jacke,61,4300
2025-06-01,Elektronik,Kopfhörer,191,8600
2025-06-01,Haushaltswaren,Küchenmaschine,69,6200
2025-06-01,Gartengeräte,Rasenmäher,60,9000
2025-06-01,Bekleidung,Jacke,59,4100
2025-07-01,Elektronik,Kopfhörer,198,8900
2025-07-01,Haushaltswaren,Küchenmaschine,68,6100
2025-07-01,Gartengeräte,Rasenmäher,58,8700
2025-07-01,Bekleidung,Jacke,56,3900
2025-08-01,Elektronik,Kopfhörer,193,8700
2025-08-01,Haushaltswaren,Küchenmaschine,66,5900
2025-08-01,Gartengeräte,Rasenmäher,50,7500
2025-08-01,Bekleidung,Jacke,60,4200
2025-09-01,Elektronik,Kopfhörer,189,8500
2025-09-01,Haushaltswaren,Küchenmaschine,63,5700
2025-09-01,Gartengeräte,Rasenmäher,30,4500
2025-09-01,Bekleidung,Jacke,74,5200
2025-10-01,Elektronik,Kopfhörer,200,9000
2025-10-01,Haushaltswaren,Küchenmaschine,70,6300
2025-10-01,Gartengeräte,Rasenmäher,12,1800
2025-10-01,Bekleidung,Jacke,97,6800
2025-11-01,Elektronik,Kopfhörer,233,10500
2025-11-01,Haushaltswaren,Küchenmaschine,80,7200
2025-11-01,Gartengeräte,Rasenmäher,6,900
2025-11-01,Bekleidung,Jacke,150,10500
2025-12-01,Elektronik,Kopfhörer,293,13200
2025-12-01,Haushaltswaren,Küchenmaschine,93,8400
2025-12-01,Gartengeräte,Rasenmäher,4,600
2025-12-01,Bekleidung,Jacke,197,13800
